Federal Energy Regulatory Commission	FERC
US Department of Energy	USDOE
U.S. Department of Energy	USDOE
US Army Corps of Engineers	USACE
U.S. Army Corps of Engineers	USACE
US Department of Transportation	USDOT
U.S. Department of Transportation	USDOT
US Environmental Protection Agency	USEPA
U.S. Environmental Protection Agency	USEPA
Golden Pass Products LLC	GPP
US Coast Guard	USCG
U.S. Coast Guard	USCG
Coast Guard	USCG
National Oceanic and Atmospheric Administration Fisheries	NOAAF
Texas Parks and Wildlife Department	TPWD
Louisiana Department of Wildlife and Fisheries	LDWF
Louisiana Department of Culture, Recreation, and Tourism, Division of Archaeology	LDCRTA
US Department of Defense	USDOD
U.S. Department of Defense	USDOD
Jefferson County, Texas	JEFF
Orange County, Texas	ORANGE
National Resource Conservation Service	NRCS
Calcasieu Parish	CALAS
Texas Commission on Environmental Quality	TCEQ
Texas Parks and Wildlife Department	TPWD
Louisiana Division of Historic Preservation	LDHP
Texas Historical Commission	THC
Alabama-Coushatta Tribe of Texas	ALCOUS
Caddo Nation of Oklahoma	CADDO
Chitimacha Tribe of Louisiana	CHITI
Coushatta Tribe of Louisiana	COUSH
Jena Band of Choctaw Indians	JENA
Mississippi Band of Choctaw Indians	CHOC_MS
Quapaw Tribe of Indians, Tonkawa Tribe of Oklahoma	QUAP
Tunica-Biloxi Indians of Louisiana	TUNI
Sabine Pass LNG	SPLNG
Tennessee Valley Authority	TVA
US Fish and Wildlife Service	USFWS
U.S. Fish and Wildlife Service	USFWS
United Keetowah Band of Cherokee Indians	UKB
US Department of Interior	USDOI
U.S. Department of Interior	USDOI
Tennessee Historical Commission	TNHC
Bureau of Ocean Energy Management, Regulation and Enforcement	BOEMRE
Bureau of Ocean Energy Management Regulation and Enforcement	BOEMRE
Bureau of Ocean Energy Management	BOEM
Bureau of Safety and Environmental Enforcement	BSEE
National Oceanic and Atmospheric Administration National Marine Fisheries Service	NMFS
Leucadia Energy, LLC	LEUC
Leucadia Energy	LEUC
Ecology and Environment, Inc.	ECOENV
Ecology and Environment	ECOENV
Choctaw Nation	CHOCTAW
Louisiana Natural Heritage Program	LNHP
Denbury	DEN
Lake Charles Cogeneration, LLC	LKCHAR
Lake Charles Cogeneration	LKCHAR
William Self Associates Inc. (WSA)	WSA
William Self Associates Inc.	WSA
William Self Associates	WSA
Dial Cordy and Associates Inc.	DCA
Dial Cordy and Associates	DCA
US Army Corps of Engineers Wilmington District	USACE_WD
U.S. Army Corps of Engineers Wilmington District	USACE_WD
Carteret County	CARTERET
Town of Atlantic Beach	ATLANTIC
Town of Pine Knoll Shores	PINE
Town of Indian Beach	INDIAN
Town of Emerald Isle	EMERALD
US Army Corps of Engineers Wilmington District	USACE_JD
U.S. Army Corps of Engineers Wilmington District	USACE_JD
US Nuclear Regulatory Commission	USNRC
U.S. Nuclear Regulatory Commission	USNRC
Florida Power and Light Company	FPL
Advisory Council on Historic Preservation	ACHP
Florida Fish and Wildlife Conservation Commission	FFWCC
National Marine Fisheries Service	NMFS
Miami-Dade Office of Historic and Archaeological Resources	MDOHAR
Florida Division of Historical Resources	FDHR
Seminole Tribe of Florida	SEMINOLE
Miccosukee Tribe of Indians of Florida	MICCO
Tennessee Department of Transportation	TDOT
Parsons Brinckerhoff Inc.	PARSONS
Parsons Brinckerhoff	PARSONS
US Department of Transportation Federal Highway Administration	USDOT_FHA
Eastern Band of the Cherokee	ECHEROKEE
Bowlby and Associates	BOWLBY
Civil and Environmental Consultant, Inc.	CIVIL
Civil and Environmental Consultant	CIVIL
Panamerican Consulting	PANA
KS Ware and Associates	KSWARE
K.S. Ware and Associates	KSWARE
Alabama Historical Commission	AHC
Georgia Department of Natural Resources Historic Preservation Division	GDNR_HPD
Mississippi Department of Archives and History State Historic Preservation Office	MDAH_SHPO
Kentucky Heritage Council	KHC
North Carolina Department of Natural and Cultural Resources Historical Commission	NCDNCR
Virginia Department of Historic Resources	VADHR
US Department of Energy Advanced Research Projects Agency	USDOE_ARPA
US Department of Agriculture Forest Service	USDA_FS
US Department of Agriculture Animal and Plant Inspection Service	USDA_APHIS
US Fish and Wildlife Serfice Mississippi Field Office	USFWS_MS
US Fish and Wildlife Service Louisiana Office	USFWS_LA
Choctaw Nation of Oklahoma	CHOC_OK
Mississippi Natural Heritage Program	MNHP
US Department of Energy Office of Fossil Energy	USDOI_OFE
City of Norfolk	NORFOLK
VHB	VHB
Housing and Urban Development	HUD
Virginia Department of Environmental Quality	VADEQ
Chickahominy Tribe	CHICK
Eastern Chickahominy Tribe	ECHICK
Upper Mattaponi Tribe	UMATT
Nansemond Tribe	NANSE
Monacan Indian Nation	MONA
Delaware Nation	DELA
Pamunkey Indian Tribe	PAMU
Driftwood LNG, LLC	DRIFT
Driftwood LNG	DRIFT
Driftwood Pipeline, LLC	DRIFT
Driftwood Pipeline	DRIFT
Driftwood LNG, LLC and Driftwood Pipeline, LLC (collectively, "Driftwood")	DRIFT
Driftwood	DRIFT
Louisiana Department of Natural Resources Office of Coastal Management	LDNR_OCM
Venture Global LNG	VENTURE
Magnolia LNG	MAG
Moran Shipping	MORAN
COTP Marine Safety Unit	COTP_MSU
ABS Consulting	ABS
Marine Pilots Institute of Covington	MPIC
Bechtel	BECHT
Port of Lake Charles	PORT
Lake Charles Pilots	LCPILOT
Louisiana State Police	LAPOL
National Park Service Environmental Quality Division	NPS_EQD
National Park Service Big South Fork NRRA	NPS_BSF
National Park Service Southeast Region	NPS_SE
National Park Service Water Resources Division	NPS_WRD
National Park Service Geological Resources Division	NPS_GRD
Wood Environment and Infrastructure Solutions, Inc.	WOOD
National Park Service	NPS
US Department of Interior Office of Surface Mining	USDOI_OSM
U.S. Department of Interior Office of Surface Mining	USDOI_OSM
Kentucky Department for Environmental Protection	KDEP
Tennessee Department of Environment and Conservation	TDEC
Kentucky State Clearinghouse	KSC
Columbia Gulf Transmission, LLC	CGT
Gulf Xpress Project	GXP
West Virginia Department of Environmental Protection	WVDEP
West Virginia Division of Natural Resources (WVDNR)	WVDNR
